"","IDs","tstat","pval","adjp"
"1109","228333_at","-10.1292727239701","4.68426537632443e-08",7.71342365301423e-07
"697","214511_x_at","-10.0767989226128","5.2424110396847e-08",8.53764083605794e-07
"922","223597_at","7.03869975169536","6.20947457438153e-08",1.00026536078624e-06
"774","218468_s_at","-7.18605727514216","6.95586192230782e-08",1.10140727890334e-06
"1381","238455_at","-7.90619369680334","6.98598409021011e-08",1.10140727890334e-06
"180","204069_at","-8.61650869573274","7.47035545610717e-08",1.15776231707768e-06
"802","219607_s_at","-7.57837831967967","7.49967492843843e-08",1.15776231707768e-06
"1006","226517_at","-7.81805050951181","7.95687168114236e-08",1.2041709697578e-06
"1053","227399_at","-9.2207654350202","7.96280398355361e-08",1.2041709697578e-06
"633","213139_at","-7.83106521398404","8.25872200024864e-08",1.22394260043685e-06
"1152","229218_at","-7.39777234808216","8.19225073327613e-08",1.22394260043685e-06
"568","210517_s_at","-6.95132669953324","8.75777179450626e-08",1.27263105567526e-06
"787","219087_at","-7.94378223983299","8.75899916861517e-08",1.27263105567526e-06
"615","212681_at","-6.81350838488176","9.32472665963934e-08",1.34167426306655e-06
"105","202133_at","-7.48014731255175","1.04159504359197e-07",1.48427293711856e-06
"763","217428_s_at","-8.80219294758281","1.05223357550454e-07",1.48515253228355e-06
"277","205168_at","-9.65525704108198","1.08148569444084e-07",1.51203943317106e-06
"904","222877_at","-9.38426639878653","1.11551618522079e-07",1.54504204345534e-06
"87","201058_s_at","-8.28906821098436","1.12635059680166e-07",1.5456033189445e-06
"967","225381_at","-10.1679066590054","1.20311299838974e-07",1.63579216845284e-06
"305","205407_at","-8.92670436584658","1.24268757417362e-07",1.67423907720482e-06
"163","203887_s_at","-8.56268658989226","1.53315866555418e-07",2.00121855232562e-06
"778","218694_at","-9.31898826004889","1.53939888640432e-07",2.00121855232562e-06
"1011","226621_at","-8.72594027781964","1.50048282066258e-07",2.00121855232562e-06
"1341","236179_at","-6.98595065083162","1.53696496964468e-07",2.00121855232562e-06
"812","219778_at","-8.66925901014178","1.63246426751491e-07",2.10374960387574e-06
"594","211564_s_at","-8.68656692006203","1.65620570508276e-07",2.11594556459711e-06
"1079","227725_at","7.60848857713666","1.8267713562929e-07",2.31391038463767e-06
"65","1559538_at","6.6829194342467","1.90956777535998e-07",2.37813398578445e-06
"291","205269_at","-6.95001829819332","1.90205869571536e-07",2.37813398578445e-06
