"","GSM972389","GSM972390","GSM972396","GSM972401","GSM972409","GSM972412","GSM972413","GSM972422","GSM972429","GSM972433","GSM972438","GSM972440","GSM972443","GSM972444","GSM972446","GSM972453","GSM972457","GSM972459","GSM972463","GSM972467","GSM972472","GSM972473","GSM972475","GSM972476","GSM972477","GSM972479","GSM972480","GSM972487","GSM972488","GSM972489","GSM972496","GSM972502","GSM972510","GSM972512","GSM972521"
"206101_at",5.36090677249032,4.62704566360163,4.12556990900879,6.11029294782505,7.33708368001893,4.35568919806839,8.50562091219645,6.25272422521526,3.62943763259913,6.55164095512693,7.43578707040931,6.32515904514861,4.56605471106949,7.16461118600456,5.11317463761965,4.02156883008702,4.15700871449858,4.64286557097833,4.32394733655892,7.06299054006853,5.71056009931797,4.98734611674093,4.11640851563836,7.67266154374412,4.17632671018125,9.45138030993594,4.05882738538796,5.02983832962522,4.60269123647148,4.48930372226673,3.51557166908152,5.20469059653569,4.60589539236546,4.78982041668415,6.48627431761865
"206104_at",6.31500540863252,3.88743208687566,5.0389010940158,3.69606606133292,4.01450923860846,4.22482742070675,3.53354291048312,3.80540306941666,4.30898455438292,4.65169546415745,3.21404563999459,4.2838436882965,5.1416893169279,5.57607267442664,3.23111853594162,4.73951407301584,5.81711942498759,3.16421113692256,4.67690999853251,3.47390328869464,2.90007854379111,3.28459796602286,6.0033353328745,2.83431974904227,3.50125778178458,5.883619194599,3.91322477009672,5.09178500545316,5.7392912856453,6.00928550578487,3.91196947829962,5.41228710710381,4.50082669848148,3.04993913154011,4.08111019620065
"206115_at",6.2951515920448,5.66342453066728,5.16780492953413,7.09783813532525,5.87577348315189,8.25648451989654,6.85406971472208,6.12519523480052,4.49129500651508,8.1852380815091,7.82257758765434,6.83081277303316,5.19084744828405,9.47172778472829,7.93926174795104,6.28671443015557,7.01196002775004,5.27506431385932,6.85217340537127,7.68846941823615,5.64315596899355,5.7001116820002,5.81459074970789,7.40280817001654,6.11749709221446,9.30807955963412,5.17607373297509,5.33216274646493,4.88105370351745,6.25712353525182,5.57652707439275,5.01355039153226,5.93762360538058,7.07151616953935,7.09308988181367
"206125_s_at",4.62299782497427,6.26026717381205,5.2274890087702,6.25606866116805,5.64720772381419,4.26647099639761,6.16471778696787,5.72367185965372,4.83121664073675,6.33979138107628,4.9963747596496,5.90520595454459,5.14090600567787,9.09930726041298,5.30221291416187,6.54205026675093,5.50838907137886,5.20841067609903,4.81415911782017,4.29740078042714,4.56480945415394,7.09125460610098,4.74421368301726,7.20849461015265,7.02723352419357,7.66445402681422,5.92807979243693,4.66748966439848,5.2480641923571,5.15074317746381,5.28983189844368,6.34621283573661,4.59556297384166,6.70748169193343,4.88951862937146
"206143_at",2.80892294140636,7.84160357447949,4.88038791495245,5.99933315434654,4.08741389572405,10.3348058583461,5.89544982639176,3.67905457150832,10.9700351643097,5.5624424500908,4.05773200212219,3.5809395953792,6.94813711198083,2.29644581954371,10.7855175550723,3.99661493950436,7.35957602416919,4.4285171767093,7.31577155059517,6.63189637699728,6.88500367683782,9.90684764231531,5.36165639831511,7.99774846351248,10.9955262034632,1.69515638508594,5.46398314119453,11.503964623566,5.74101700848575,9.94710450866869,9.06812222995791,7.36540307620474,7.85592082876662,5.27350549584188,4.35756624027183
"206149_at",4.48905962125463,6.55201773870611,7.00047770610654,5.44219363719513,5.19069918494649,7.79104650583202,5.32090945245626,6.44622534001124,8.19096805695894,5.02192692348147,5.09337487057371,5.40629396332381,8.21423835233372,4.90589195800354,7.87418630494831,8.73681855110711,8.32979010791587,4.40392238298811,7.28792880640974,6.66414550696911,5.95489326070213,6.59045709413441,5.22174218942601,7.48702405192147,7.43702590659017,4.20007067944516,6.28864532393409,8.74376565178262,5.39280670991748,7.81256024995159,6.87584741959501,7.2201542721624,5.8629088566984,7.10075697831179,4.98485261571296
"206153_at",2.55493865663088,4.7436737191124,3.43731683506543,3.48068929549494,3.68045628285705,3.22816485426235,3.60518261480417,3.3803584176541,3.58493501200941,3.54920910389701,2.70937358716275,4.1640769799528,5.06003067416365,4.58010698666066,3.18662839982849,4.30736448094202,3.29863346459457,3.31649885242061,4.24143714897522,2.4608313246187,2.57536259379288,4.57440386868046,3.78516470477718,3.27149183969202,3.57828351124553,2.3701421872131,3.3841533730242,4.40371739187757,4.10926919956478,4.4220159337271,4.84394097056356,4.06477996376172,4.38168630493505,3.9530783270993,3.47639429758623
"206157_at",3.65149114681489,3.22757865149908,3.02127930827484,6.36075552376337,3.29800402834087,3.21697505481928,3.03993130159655,3.20655413612534,2.82810514433703,6.16594995626659,3.43867571732075,4.89987592986689,4.00962992384859,3.92316511321747,3.49701554836822,3.39126478143798,2.71544780321174,2.82874501425169,2.8599223861933,4.02572769753786,3.18399014570495,4.02026316274527,5.07302341793141,3.93693989960818,2.26010994579505,4.7545222823364,2.74712678430272,2.63017007009169,3.61488747839335,3.10639021597114,3.18926348491496,3.60644133938189,3.28231164181346,3.36463932741048,3.6581320336843
"206167_s_at",6.65221018620085,4.47277316242666,5.63084322892699,5.28260088030702,5.92215479177646,4.54661391880798,5.75012558350378,4.76111150558252,5.13209488415101,7.13230380504736,5.35259955560655,5.54251192022365,3.84134553842083,7.12062526449037,7.20252291927384,4.51562080578438,4.38984945662007,6.53408710194466,4.24119495319565,6.50812504079572,7.88522147018084,4.19104508858726,5.05379685851224,6.87808875332974,5.23487190743372,5.29496050305911,4.52759358182903,4.65241258987583,6.06653664926932,5.07345250575637,6.8835171564771,6.15153614477932,4.16654739226092,4.14065345319721,5.50574230385562
"206172_at",4.66215224595728,4.20349677632911,3.93161639382675,4.51944786180536,3.02016893892826,3.97599359084339,3.37784489829821,3.00787071720714,5.56480202888606,4.1511779084857,5.25122107583174,3.43153859539246,3.66729462946321,4.82375634848572,6.92174339020313,4.10825567650627,3.36768057594816,7.37479448637361,3.75295659244189,3.7333755586713,3.4778712497576,5.55053497936886,3.25969468091267,4.07078754271697,3.75760667312235,3.30257525274118,4.36787819442009,3.15576321257744,3.50048586809352,3.53907870935653,4.72745849129354,3.81579464650052,3.47421163122545,3.87351897996315,3.49668669419029
