"","IDs","tstat","pval","adjp"
"4098","212561_at","-8.51946468799052","8.58068529565819e-10",1.64749157676637e-07
"3322","209539_at","-8.99948342186143","8.97347015487512e-10",1.66349570871064e-07
"5154","217763_s_at","-10.2429701228313","8.90596307055141e-10",1.66349570871064e-07
"1366","202995_s_at","-9.89021831529169","9.46376219143145e-10",1.6819688888409e-07
"3196","209191_at","-9.37284485910572","9.35171077475488e-10",1.6819688888409e-07
"7325","226372_at","-11.0321669955315","9.5424202212886e-10",1.6819688888409e-07
"1998","204619_s_at","-9.11832101566583","1.01107911983977e-09",1.75340688653503e-07
"4918","215646_s_at","-8.89372023753708","1.05180724097242e-09",1.79508435792626e-07
"3910","211896_s_at","-9.07444937079931","1.14024867263907e-09",1.91561777003364e-07
"1125","202283_at","-9.50642855342412","1.22100675595994e-09",1.98913100607292e-07
"2583","206026_s_at","-8.96082303587184","1.20407798593545e-09",1.98913100607292e-07
"1568","203603_s_at","-10.2818190871925","1.27244004245996e-09",1.99403303191846e-07
"4288","213125_at","-9.79244458391318","1.29326060769926e-09",1.99403303191846e-07
"5008","216442_x_at","-8.40597770833296","1.24849323530778e-09",1.99403303191846e-07
"8901","231766_s_at","-8.76500871254983","1.29819858848858e-09",1.99403303191846e-07
"1999","204620_s_at","-8.97804944720691","1.43390585890627e-09",2.17145856267045e-07
"3977","212158_at","-9.99273478646826","1.45808774027305e-09",2.17741102547442e-07
"1239","202664_at","-9.28311326472326","1.51372642145608e-09",2.20760213420403e-07
"3084","208747_s_at","-9.71530421569596","1.51936902837703e-09",2.20760213420403e-07
"266","1555778_a_at","-8.24517090738715","1.60374362648527e-09",2.22952992636353e-07
"3328","209550_at","-9.62888564418017","1.58462383985651e-09",2.22952992636353e-07
"3625","210495_x_at","-8.31203668678587","1.61740452247354e-09",2.22952992636353e-07
"4824","215076_s_at","-8.41188778329117","1.57807535888411e-09",2.22952992636353e-07
"1586","203645_s_at","-9.51931722246175","1.66258315416004e-09",2.24315073863793e-07
"6136","221814_at","-9.18085397899632","1.66901096624846e-09",2.24315073863793e-07
"1111","202238_s_at","-8.87217341378322","1.72494077030917e-09",2.28969915584743e-07
"4035","212344_at","-9.78773727511806","1.76104012475308e-09",2.30911017333477e-07
"810","201261_x_at","-9.18253237149726","1.85524318242071e-09",2.40332225269729e-07
"6114","221731_x_at","-8.77436505583793","1.94630467970395e-09",2.43386205251101e-07
"6442","223121_s_at","-10.8654240146847","1.93037084888108e-09",2.43386205251101e-07
"7067","225664_at","-8.30432564323956","1.94672746015576e-09",2.43386205251101e-07
"680","200665_s_at","-8.20690349515257","2.08730402202261e-09",2.52165088143675e-07
"3873","211719_x_at","-8.16627523605583","2.06035827495019e-09",2.52165088143675e-07
"7515","226834_at","-10.1676728385552","2.07736991261111e-09",2.52165088143675e-07
"862","201438_at","-8.24415785808914","2.17385674152737e-09",2.55727728574808e-07
"4234","213001_at","-9.60057634365697","2.18814648706123e-09",2.55727728574808e-07
"7060","225651_at","-8.395422021224","2.1725275004106e-09",2.55727728574808e-07
"3818","211571_s_at","-8.980719050246","2.22794181573863e-09",2.57578821535718e-07
"796","201162_at","-8.94022147079133","2.46230618046485e-09",2.79432554863527e-07
"1160","202403_s_at","-8.08571190825763","2.48237280964347e-09",2.79432554863527e-07
"1398","203083_at","-8.49849890839342","2.52092241645853e-09",2.79432554863527e-07
"4396","213429_at","-9.27684974386127","2.50964672666871e-09",2.79432554863527e-07
"7113","225793_at","-8.78539960190321","2.54717316916322e-09",2.79461284845336e-07
"938","201666_at","-8.1079620495835","2.60976154386289e-09",2.81325486383545e-07
"8936","231879_at","-8.61306788145995","2.61649447901363e-09",2.81325486383545e-07
"1146","202363_at","-10.0301745141118","2.71407597200588e-09",2.88928166841656e-07
"5343","218656_s_at","-8.98390710005346","2.93759194690633e-09",3.09656751109185e-07
"7961","228004_at","8.03145898646332","3.04322162797039e-09",3.17676882950851e-07
"1622","203748_x_at","-9.43706562618273","3.18801444998767e-09",3.26452679678737e-07
"4070","212464_s_at","-8.10167779981264","3.16331637294085e-09",3.26452679678737e-07
"700","200788_s_at","-9.91215890372703","3.82936673738009e-09",3.84797674395427e-07
"7480","226751_at","-10.7061645001334","3.82202878000082e-09",3.84797674395427e-07
"7179","225968_at","-10.5098952351065","4.04410272650227e-09",4.0261289366067e-07
"5638","219489_s_at","-9.06421578235479","4.49195735236707e-09",4.43096563785787e-07
"4819","215049_x_at","-9.98404784475625","4.60401644504222e-09",4.500216801554e-07
"7002","225464_at","-9.84169459609275","4.66552654948192e-09",4.51925598739005e-07
"7612","227061_at","-10.5103870150879","4.75399817374616e-09",4.56383824679631e-07
"1753","204051_s_at","-9.62127044413619","5.00219158474556e-09",4.75960742647648e-07
"6067","221541_at","-8.74856057185377","5.11491980271241e-09",4.82417699287402e-07
"1601","203695_s_at","-10.4095110867963","5.17679294437735e-09",4.84007632503872e-07
"250","1555630_a_at","-10.0680505027611","5.2542702085765e-09",4.87016493815643e-07
"1900","204400_at","-11.1734237896424","5.36767988541403e-09",4.93276018187792e-07
"989","201811_x_at","-7.9056885022563","5.60212493990948e-09",5.10458028422938e-07
"859","201430_s_at","-8.05967870576524","5.92703876552342e-09",5.31062673390898e-07
"1324","202897_at","-9.43129179459929","5.90735958207914e-09",5.31062673390898e-07
"1006","201865_x_at","-8.62676112873676","5.99915168847279e-09",5.33081644251731e-07
"7075","225681_at","-7.76234064756519","6.11545227095937e-09",5.34580022905326e-07
"10647","36030_at","-9.72938722716176","6.09879689957601e-09",5.34580022905326e-07
"3333","209568_s_at","-8.93480961345217","6.2795833044993e-09",5.44500642661101e-07
"3465","209868_s_at","-9.13907903263833","6.57238601352324e-09",5.65330355339215e-07
